224V S3 Rifle Cartridge, 88.0 gr
﻿#,Speed (FPS),Δ AVG (FPS),KE (FT-LBS),Power Factor (kgr⋅ft/s),Time,Clean Bore,Cold Bore,Shot Notes
1,2485.8,-4.6,1207.2,218.7,10:40:29,,,
2,2484.0,-6.3,1205.5,218.6,10:40:36,,,
3,2507.9,17.6,1228.8,220.7,10:40:42,,,
4,2491.3,1.0,1212.6,219.2,10:40:46,,,
5,2471.5,-18.8,1193.4,217.5,10:40:57,,,
6,2497.4,7.0,1218.5,219.8,10:41:07,,,
7,2484.7,-5.7,1206.1,218.7,10:41:09,,,
8,2525.4,35.0,1245.9,222.2,10:41:13,,,
9,2511.6,21.2,1232.4,221.0,10:41:15,,,
10,2500.4,10.1,1221.4,220.0,10:41:18,,,
11,2483.9,-6.4,1205.4,218.6,10:41:33,,,
12,2482.5,-7.8,1204.0,218.5,10:41:39,,,
13,2508.8,18.4,1229.6,220.8,10:41:43,,,
14,2512.7,22.4,1233.5,221.1,10:41:52,,,
15,2451.7,-38.7,1174.3,215.7,10:41:55,,,
16,2478.2,-12.1,1199.9,218.1,10:42:03,,,
17,2480.6,-9.8,1202.1,218.3,10:42:06,,,
18,2480.7,-9.7,1202.2,218.3,10:42:10,,,
19,2482.9,-7.4,1204.4,218.5,10:42:13,,,
20,2485.1,-5.3,1206.5,218.7,10:42:17,,,
-,,,,,,
AVERAGE SPEED,2490.4,,,,,
AVERAGE POWER FACTOR,219.2,,,,,
STD DEV,16.5,,,,,
SPREAD,73.7,,,,,
Projectile Weight (GRAINS),"88.0",,,,,
Session Note,,,,,,
-,,,,,,
Date,"MAY 17, 2025 10:40",,,,,
All shots included in the calculations,,,,,,
