224V S4 Riifle Cartridge, 88.0 gr
﻿#,Speed (FPS),Δ AVG (FPS),KE (FT-LBS),Power Factor (kgr⋅ft/s),Time,Clean Bore,Cold Bore,Shot Notes
1,2530.4,14.7,1250.9,222.7,10:46:35,,,
2,2555.7,40.0,1276.1,224.9,10:46:44,,,
3,2535.9,20.3,1256.4,223.2,10:47:01,,,
4,2569.6,53.9,1289.9,226.1,10:47:06,,,
5,2531.4,15.7,1251.9,222.8,10:47:11,,,
6,2569.6,53.9,1289.9,226.1,10:47:21,,,
7,2531.7,16.0,1252.2,222.8,10:47:32,,,
8,2544.4,28.8,1264.8,223.9,10:47:38,,,
9,2532.7,17.0,1253.2,222.9,10:47:44,,,
10,2486.0,-29.7,1207.4,218.8,10:47:49,,,
11,2494.9,-20.8,1216.1,219.6,10:48:00,,,
12,2497.6,-18.1,1218.7,219.8,10:48:08,,,
13,2472.7,-43.0,1194.5,217.6,10:48:17,,,
14,2485.3,-30.4,1206.7,218.7,10:48:34,,,
15,2473.8,-41.8,1195.6,217.7,10:48:38,,,
16,2503.7,-12.0,1224.6,220.3,10:48:51,,,
17,2474.2,-41.5,1195.9,217.7,10:48:54,,,
18,2492.7,-23.0,1213.9,219.4,10:48:59,,,
-,,,,,,
AVERAGE SPEED,2515.7,,,,,
AVERAGE POWER FACTOR,221.4,,,,,
STD DEV,31.8,,,,,
SPREAD,96.9,,,,,
Projectile Weight (GRAINS),"88.0",,,,,
Session Note,,,,,,
-,,,,,,
Date,"MAY 17, 2025 10:45",,,,,
All shots included in the calculations,,,,,,
