"Rifle session started at 11:19"
#,SPEED (FPS),Δ AVG (FPS),KE (FT-LB),POWER FACTOR (KGR⋅FT/S),TIME,CLEAN BORE,COLD BORE,SHOT NOTES
1, 2837.4, -5.1, 3127.8, 496.5, 11:20:46 AM, , , 
2, 2852.0, 9.6, 3160.2, 499.1, 11:21:15 AM, , , 
3, 2838.5, -4.0, 3130.3, 496.7, 11:21:38 AM, , , 
4, 2847.2, 4.8, 3149.6, 498.3, 11:22:04 AM, , , 
5, 2837.2, -5.3, 3127.4, 496.5, 11:22:35 AM, , , 

-,,,,,,

AVERAGE SPEED,2842.5,,,,,,,
STD DEV,6.1,,,,,,,
SPREAD,14.8,,,,,,,
AVERAGE POWER FACTOR,497.4,,,,,,,
PROJECTILE WEIGHT(GRAINS),175.0,,,,,,,
AVG KINETIC ENERGY,3139.1,,,,,,,
SESSION NOTE,"",,,,,,,

-,,,,,,

DATE, "November 10, 2024 at 11:19 AM",,,,,
All shots included in the calculations,,,,,,,﻿
